D:\download\interview-sim-backend-main3\venv\Lib\site-packages\langgraph\cache\base\__init__.py:8: LangChainPendingDeprecationWarning: The default value of `allowed_objects` will change in a future version. Pass an explicit value (e.g., allowed_objects='messages' or allowed_objects='core') to suppress this warning.
  from langgraph.checkpoint.serde.jsonplus import JsonPlusSerializer
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.102:5000
Press CTRL+C to quit
192.168.1.97 - - [11/May/2026 15:40:04] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:07] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:07] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:07] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:07] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:08] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:08] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:10] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:10] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:46] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:46] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:50] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:50] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:50] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:51] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:51] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:58] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:58] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:41:00] "POST /api/v1/sessions/51/finalize HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:41:00] "POST /sessions/51/finalize HTTP/1.1" 409 -
192.168.1.97 - - [11/May/2026 15:41:00] "GET /api/v1/sessions/51/report HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:41:00] "GET /sessions/51/report HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:41:52] "POST /api/v1/sessions/51/finalize HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:41:52] "POST /sessions/51/finalize HTTP/1.1" 409 -
192.168.1.97 - - [11/May/2026 15:41:52] "GET /api/v1/sessions/51/report HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:41:52] "GET /sessions/51/report HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:44:40] "DELETE /api/v1/sessions/3 HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:44:40] "DELETE /sessions/3 HTTP/1.1" 405 -
192.168.1.97 - - [11/May/2026 15:44:52] "POST /api/v1/sessions/51/finalize HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:44:52] "POST /sessions/51/finalize HTTP/1.1" 409 -
192.168.1.97 - - [11/May/2026 15:44:52] "GET /api/v1/sessions/51/report HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:44:53] "GET /sessions/51/report HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:44:55] "POST /api/v1/sessions/50/finalize HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:44:55] "POST /sessions/50/finalize HTTP/1.1" 409 -
192.168.1.97 - - [11/May/2026 15:44:55] "GET /api/v1/sessions/50/report HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:44:55] "GET /sessions/50/report HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:45:43] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:45:43] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:45:43] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:45:43] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:45:43] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
